"","DATE","WSR_PK","WSR_AV","T_PK","T85","RH85","U85","V85","T70","U70","V70","T50","RH50","U50","V50","SLP","Precp","OzoneDay1hPeak","Oz8h","WSR.vect","T.vect"
"1",1998-01-01,0.55,0.31,0.482,0.436708860759494,0.11,0.0766,0.0028,0.291187739463602,0.1436,0.0024,0.402597402597403,0.15,0.2134,-0.0312,0.946666666666667,0,"0","0","6","2"
"2",1998-01-02,0.55,0.34,0.548,0.509493670886076,0.25,-0.0082,0.1906,0.295019157088123,0.1648,0.146,0.445887445887446,0.48,0.1678,0.0768,0.8,0,"0","0","6","1"
"3",1998-01-03,0.56,0.35,0.544,0.509493670886076,0.56,0.0178,0.2034,0.413793103448276,0.076,0.0884,0.385281385281385,0.6,0.1388,0.196,0.693333333333333,0,"0","0","6","5"
"4",1998-01-04,0.47,0.32,0.492,0.537974683544304,0.89,-0.0068,0.1716,0.494252873563218,0.0834,0.1622,0.346320346320346,0.49,0.1746,0.2108,0.586666666666667,0.100726392251816,"0","0","5","1"
"5",1998-01-05,0.37,0.23,0.62,0.670886075949367,0.78,0.0412,0.1902,0.601532567049808,0.118,0.0386,0.593073593073593,0.5,0.2614,0.183,0.626666666666667,0.0280871670702179,"0","0","6","1"
"6",1998-01-06,0.68,0.32,0.492,0.680379746835443,0.68,0.0304,0.1724,0.544061302681992,0.1808,0.2162,0.562770562770563,0.09,0.2396,0.2256,0.386666666666667,0.282808716707022,"0","0","5","1"
"7",1998-01-07,0.7,0.52,0.416,0.623417721518987,0.98,0.0096,0.1492,0.555555555555556,0.2672,0.3068,0.562770562770563,0.84,0.1372,0.512,0.173333333333333,0.00871670702179177,"0","0","3","8"
"8",1998-01-08,0.68,0.39,0.398,0.330696202531646,0.73,0.3228,0.0906,0.28544061302682,0.3658,0.1606,0.203463203463203,0.2,0.3844,0.3642,0.24,0,"0","0","3","4"
"9",1998-01-09,0.41,0.21,0.44,0.348101265822785,0.38,0.2608,-0.0846,0.304597701149425,0.305,-0.1156,0.25974025974026,0.51,0.4688,-0.099,0.386666666666667,0,"0","0","6","4"
"10",1998-01-10,0.33,0.17,0.546,0.449367088607595,0.23,0.1058,0.016,0.264367816091954,0.2028,0.0018,0.32034632034632,0.08,0.3702,-0.0176,0.546666666666667,0,"0","0","4","2"
"11",1998-01-11,0.43,0.27,0.546,0.474683544303797,0.8,0.0868,0.088,0.333333333333333,0.2406,-0.0102,0.376623376623377,0.11,0.4354,0.0014,0.573333333333333,0.00145278450363196,"0","0","6","5"
"12",1998-01-12,0.42,0.2,0.584,0.569620253164557,0.96,0.2154,0.2044,0.513409961685824,0.2156,0.5108,0.497835497835498,0.39,0.4214,0.1004,0.44,0.0208232445520581,"0","0","3","4"
"13",1998-01-13,0.43,0.23,0.48,0.613924050632911,0.84,0.1558,0.0768,0.482758620689655,0.1624,0.0376,0.432900432900433,0.48,0.4358,0.1828,0.466666666666667,0.0232445520581114,"0","0","6","1"
"14",1998-01-14,0.43,0.19,0.436,0.579113924050633,0.8,0.0098,0.0966,0.459770114942529,0.3272,0.0204,0.454545454545455,0.49,0.462,0.3376,0.48,0.00871670702179177,"0","0","6","1"
"15",1998-01-15,0.59,0.4,0.368,0.503164556962025,0.86,0.088,-0.0212,0.404214559386973,0.234,0.0586,0.303030303030303,0.36,0.4264,0.3444,0.373333333333333,0,"0","0","3","4"
"16",1998-01-16,0.56,0.24,0.524,0.348101265822785,0.31,0.1858,-0.2654,0.289272030651341,0.3248,-0.2078,0.134199134199134,0.36,0.5304,-0.1416,0.453333333333333,0,"0","0","4","4"
"17",1998-01-17,0.32,0.2,0.492,0.490506329113924,0.47,0.2634,0.0238,0.478927203065134,0.4044,-0.0354,0.415584415584416,0.17,0.4944,0.0196,0.493333333333333,0,"0","0","2","4"
"18",1998-01-18,0.65,0.35,0.582,0.541139240506329,0.6,0.2088,0.093,0.486590038314176,0.366,-0.0804,0.515151515151515,0.06,0.4712,0.0072,0.506666666666667,0,"0","0","5","4"
"19",1998-01-19,0.44,0.24,0.432,0.572784810126582,0.25,0.183,-0.1404,0.494252873563218,0.3864,-0.0938,0.424242424242424,0.28,0.3936,-0.1062,0.466666666666667,0,"0","0","3","4"
"20",1998-01-20,0.47,0.29,0.488,0.496835443037975,0.15,0.0744,0,0.544061302681992,0.1742,-0.05,0.510822510822511,0.15,0.1642,-0.0108,0.533333333333333,0,"0","0","6","2"
"21",1998-01-21,0.45,0.24,0.558,0.544303797468354,0.66,0.1164,0.1818,0.448275862068966,0.1892,0.1232,0.502164502164502,0.02,0.3372,0.1766,0.413333333333333,0.0319612590799032,"0","0","5","2"
"22",1998-01-22,0.59,0.44,0.468,0.632911392405063,0.78,0.1284,0.111,0.475095785440613,0.2326,0.1726,0.415584415584416,0.2,0.4222,0.2412,0.306666666666667,0,"0","0","6","1"
"23",1998-01-23,0.4,0.22,0.406,0.465189873417722,0.3,0.1182,-0.127,0.344827586206897,0.132,0.0288,0.316017316017316,0.32,0.3528,0.2022,0.453333333333333,0,"0","0","6","4"
"24",1998-01-24,0.3,0.11,0.406,0.286392405063291,0.62,0.1042,-0.1312,0.350574712643678,0.3894,-0.1086,0.281385281385281,0.22,0.5594,-0.1396,0.586666666666667,0,"0","0","6","4"
"25",1998-01-25,0.53,0.26,0.446,0.382911392405063,0.15,0.0404,-0.0118,0.432950191570881,0.2022,-0.0526,0.380952380952381,0.24,0.316,0.042,0.626666666666667,0,"0","0","4","8"
"26",1998-01-26,0.75,0.44,0.474,0.462025316455696,0.63,0.1546,0.1186,0.268199233716475,0.2564,0.1172,0.242424242424242,0.43,0.376,0.2196,0.506666666666667,0.0271186440677966,"0","0","6","1"
"27",1998-01-27,0.32,0.19,0.448,0.281645569620253,0.68,0.1614,-0.2,0.264367816091954,0.3156,-0.17,0.207792207792208,0.22,0.322,-0.3894,0.546666666666667,0,"0","0","6","6"
"28",1998-01-28,0.44,0.21,0.502,0.433544303797468,0.24,0.0528,-0.108,0.501915708812261,0.1846,-0.1348,0.502164502164502,0.23,0.3198,-0.153,0.626666666666667,0,"0","0","4","6"
"29",1998-01-29,0.27,0.12,0.562,0.487341772151899,0.27,0.138,-0.0212,0.517241379310345,0.1692,0.0296,0.441558441558442,0.14,0.2976,0.0916,0.533333333333333,0,"0","0","2","2"
"30",1998-01-30,0.32,0.12,0.56,0.458860759493671,0.83,0.0764,-0.0688,0.39463601532567,0.1218,-0.1022,0.255411255411255,0.2,0.2448,-0.1374,0.466666666666667,0,"0","0","1","2"
"31",1998-01-31,0.62,0.35,0.488,0.45253164556962,0.83,-0.0184,-0.0444,0.373563218390805,0.0738,-0.0756,0.233766233766234,0.29,0.1352,-0.0264,0.453333333333333,0.00145278450363196,"0","0","3","5"
"32",1998-02-01,0.42,0.3,0.408,0.522151898734177,0.58,-0.024,0.1676,0.417624521072797,0.1014,0.1756,0.316017316017316,0.58,0.3294,0.0598,0.36,0.0121065375302663,"0","0","6","1"
